,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
10,5994,Shiba Inu,SHIB,shiba-inu,779,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,11,,,,2024-03-27T16:41:00.000Z,3.011363606046006e-05,1759800903.2398865,-13.677,-0.19914355,1.14766617,20.91426704,208.30013184,231.19459526,184.17928715,17745646851.496315,0.6812,17753014925.83,,2024-03-27T16:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-03-27 16:42:53.073330
11,11419,Toncoin,TON,toncoin,238,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3470254095.612686,5104666595.375751,True,,12,3414166606.0,17014858167.225515,,2024-03-27T16:41:00.000Z,4.983605116787179,225140192.21240035,-23.541,0.39814967,-1.23699402,20.59513429,133.39524417,139.89115942,122.87086631,17294376067.44705,0.6642,25439642564.21,,2024-03-27T16:41:00.000Z,,,,,,2024-03-27 16:42:53.073330
12,6636,Polkadot,DOT,polkadot-new,725,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1426722820.0108736,1426722820.0108736,True,,13,,,,2024-03-27T16:42:00.000Z,9.452980737218969,366870572.58519965,6.6049,-0.48301405,-2.17250423,8.72331445,17.74662685,41.21792118,11.91383695,13486783334.913513,0.5173,13486783334.91,,2024-03-27T16:42:00.000Z,,,,,,2024-03-27 16:42:53.073330
13,1975,Chainlink,LINK,chainlink,1704,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,14,,,,2024-03-27T16:41:00.000Z,19.23197558583649,484878077.824483,-15.7472,-0.54033222,-2.9287584,13.97598329,1.16849699,34.32031296,18.10535589,11291092298.19332,0.4334,19231975585.84,,2024-03-27T16:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-03-27 16:42:53.073330
14,1831,Bitcoin Cash,BCH,bitcoin-cash,867,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19680662.5,19680662.5,False,,15,,,,2024-03-27T16:41:00.000Z,537.7214434990152,1304029421.351601,109.1295,0.75086309,14.34468243,46.97624891,98.38628684,120.24123197,97.80571008,10582714248.516937,0.4062,11292150313.48,,2024-03-27T16:41:00.000Z,,,,,,2024-03-27 16:42:53.073330
0,1,Bitcoin,BTC,bitcoin,10943,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19665793.0,19665793.0,False,,1,,,,2024-03-27T16:43:00.000Z,69146.70336433912,39754538147.452965,-2.4143,-0.14777576,-0.5315043,9.49291317,29.64546871,65.32636224,62.71644056,1359824754995.4966,52.1526,1452080770651.12,,2024-03-27T16:43:00.000Z,,,,,,2024-03-27 16:43:49.880328
1,1027,Ethereum,ETH,ethereum,8659,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120073215.06618808,120073215.06618808,True,,2,,,,2024-03-27T16:42:00.000Z,3513.884943465206,18662666648.50537,-8.6304,-0.65117616,-1.16019706,9.09533589,11.41475047,54.88239764,48.14129112,421923462534.53784,16.1818,421923462534.54,,2024-03-27T16:42:00.000Z,,,,,,2024-03-27 16:43:49.880328
2,825,Tether USDt,USDT,tether,80394,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,104362092743.91322,107792615137.11449,True,,3,,,,2024-03-27T16:42:00.000Z,0.9995322320865225,83390454029.38737,-0.0547,-0.00017645,-0.05384129,-0.08669891,-0.0524194,-0.05363293,-0.08218467,104313275505.54427,4.0007,107742193210.44,,2024-03-27T16:42:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-27 16:43:49.880328
3,1839,BNB,BNB,bnb,2124,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149536578.750498,149536578.750498,False,,4,,,,2024-03-27T16:42:00.000Z,570.2481334015321,2021409646.7351983,-5.2513,-0.41973742,-0.71372376,11.00904596,43.48629688,87.94054555,72.53147516,85272954907.72269,3.2704,85272954907.72,,2024-03-27T16:42:00.000Z,,,,,,2024-03-27 16:43:49.880328
4,5426,Solana,SOL,solana,649,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,444305134.57941896,572747287.0651139,True,,5,,,,2024-03-27T16:42:00.000Z,182.58270722336033,3963752788.3091197,9.5762,-0.10562927,-2.65815672,8.87973275,71.58843067,96.62624079,84.32079024,81122434304.74976,3.1138,104573750227.18,,2024-03-27T16:42:00.000Z,,,,,,2024-03-27 16:43:49.880328
5,52,XRP,XRP,xrp,1279,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54884241878.0,99987762348.0,False,,6,,,,2024-03-27T16:43:00.000Z,0.6130922793541842,2033300840.3692722,-7.2462,-0.51430591,-2.39254674,6.42732188,12.46926508,15.62546337,-2.84855439,33649104953.60939,1.2905,61309227935.42,,2024-03-27T16:43:00.000Z,,,,,,2024-03-27 16:43:49.880328
